Instance,Bound,Incumbent
depot-p07,18.0,18.0
depot-p08,27.0,27.0
depot-p09,44.0,44.0
depot-p10,22.0,22.0
depot-p11,41.0,41.0
depot-p12,45.0,45.0
depot-p13,24.0,24.0
depot-p14,23.0,23.0
depot-p15,49.0,49.0
depot-p16,24.0,24.0
depot-p17,22.0,22.0
depot-p18,49.0,49.0
depot-p19,32.0,32.0
depot-p20,57.0,57.0
depot-p21,32.0,32.0
depot-p22,77.0,77.0
driverlog-p01,6.0,6.0
driverlog-p02,14.0,14.0
driverlog-p03,11.0,11.0
driverlog-p04,12.0,12.0
driverlog-p05,15.0,15.0
driverlog-p06,10.0,10.0
driverlog-p07,12.0,12.0
driverlog-p08,15.0,15.0
driverlog-p09,18.0,18.0
driverlog-p10,16.0,16.0
driverlog-p11,18.0,18.0
driverlog-p12,24.0,24.0
driverlog-p13,21.0,21.0
driverlog-p14,25.0,25.0
driverlog-p15,30.0,30.0
driverlog-p16,51.0,51.0
driverlog-p17,57.0,57.0
driverlog-p18,62.0,62.0
driverlog-p19,85.0,85.0
driverlog-p20,79.0,79.0
elevators-opt08-strips-p01,32.0,32.0
elevators-opt08-strips-p02,26.0,26.0
elevators-opt08-strips-p03,38.0,38.0
elevators-opt08-strips-p04,36.0,36.0
elevators-opt08-strips-p05,38.0,38.0
elevators-opt08-strips-p06,38.0,38.0
elevators-opt08-strips-p07,38.0,38.0
elevators-opt08-strips-p08,33.0,33.0
elevators-opt08-strips-p09,48.0,48.0
elevators-opt08-strips-p10,48.0,48.0
elevators-opt08-strips-p11,41.0,41.0
elevators-opt08-strips-p12,38.0,38.0
elevators-opt08-strips-p13,47.0,47.0
elevators-opt08-strips-p14,41.0,41.0
elevators-opt08-strips-p15,44.0,44.0
elevators-opt08-strips-p16,51.0,51.0
elevators-opt08-strips-p17,57.0,57.0
elevators-opt08-strips-p18,44.0,44.0
elevators-opt08-strips-p19,57.0,57.0
elevators-opt08-strips-p20,51.0,51.0
elevators-opt08-strips-p21,34.0,34.0
elevators-opt08-strips-p22,40.0,40.0
elevators-opt08-strips-p23,46.0,46.0
elevators-opt08-strips-p24,49.0,49.0
elevators-opt08-strips-p25,45.0,45.0
elevators-opt08-strips-p26,39.0,39.0
elevators-opt08-strips-p27,56.0,56.0
elevators-opt08-strips-p28,51.0,51.0
elevators-opt08-strips-p29,57.0,57.0
elevators-opt08-strips-p30,57.0,57.0
elevators-opt11-strips-p01,41.0,41.0
elevators-opt11-strips-p02,34.0,34.0
elevators-opt11-strips-p03,38.0,38.0
elevators-opt11-strips-p04,38.0,38.0
elevators-opt11-strips-p05,47.0,47.0
elevators-opt11-strips-p06,36.0,36.0
elevators-opt11-strips-p07,39.0,39.0
elevators-opt11-strips-p08,38.0,38.0
elevators-opt11-strips-p09,40.0,40.0
elevators-opt11-strips-p10,41.0,41.0
elevators-opt11-strips-p11,51.0,51.0
elevators-opt11-strips-p12,38.0,38.0
elevators-opt11-strips-p13,38.0,38.0
elevators-opt11-strips-p14,33.0,33.0
elevators-opt11-strips-p15,48.0,48.0
elevators-opt11-strips-p16,44.0,44.0
elevators-opt11-strips-p17,57.0,57.0
elevators-opt11-strips-p18,44.0,44.0
elevators-opt11-strips-p19,46.0,46.0
elevators-opt11-strips-p20,49.0,49.0
elevators-sat08-strips-p01,42.0,42.0
elevators-sat08-strips-p02,37.0,37.0
elevators-sat08-strips-p03,43.0,43.0
elevators-sat08-strips-p04,48.0,48.0
elevators-sat08-strips-p05,43.0,43.0
elevators-sat08-strips-p06,48.0,48.0
elevators-sat08-strips-p07,48.0,48.0
elevators-sat08-strips-p08,48.0,48.0
elevators-sat08-strips-p09,48.0,48.0
elevators-sat08-strips-p10,43.0,43.0
elevators-sat08-strips-p11,64.0,64.0
elevators-sat08-strips-p12,81.0,81.0
elevators-sat08-strips-p13,81.0,81.0
elevators-sat08-strips-p14,85.0,85.0
elevators-sat08-strips-p15,91.0,91.0
elevators-sat08-strips-p16,81.0,81.0
elevators-sat08-strips-p17,91.0,91.0
elevators-sat08-strips-p18,90.0,90.0
elevators-sat08-strips-p19,96.0,96.0
elevators-sat08-strips-p20,96.0,96.0
elevators-sat08-strips-p21,102.0,102.0
elevators-sat08-strips-p22,114.0,114.0
elevators-sat08-strips-p23,112.0,112.0
elevators-sat08-strips-p24,124.0,124.0
elevators-sat08-strips-p25,134.0,134.0
elevators-sat08-strips-p26,134.0,134.0
elevators-sat08-strips-p27,129.0,129.0
elevators-sat08-strips-p28,144.0,144.0
elevators-sat08-strips-p29,134.0,134.0
elevators-sat08-strips-p30,139.0,139.0
elevators-sat11-strips-p01,85.0,85.0
elevators-sat11-strips-p02,124.0,124.0
elevators-sat11-strips-p03,134.0,134.0
elevators-sat11-strips-p04,96.0,96.0
elevators-sat11-strips-p05,90.0,90.0
elevators-sat11-strips-p06,129.0,129.0
elevators-sat11-strips-p07,134.0,134.0
elevators-sat11-strips-p08,144.0,144.0
elevators-sat11-strips-p09,134.0,134.0
elevators-sat11-strips-p10,139.0,139.0
elevators-sat11-strips-p11,144.0,144.0
elevators-sat11-strips-p12,133.0,133.0
elevators-sat11-strips-p13,139.0,139.0
elevators-sat11-strips-p14,144.0,144.0
elevators-sat11-strips-p15,139.0,139.0
elevators-sat11-strips-p16,220.0,220.0
elevators-sat11-strips-p17,235.0,235.0
elevators-sat11-strips-p18,220.0,220.0
elevators-sat11-strips-p19,230.0,230.0
elevators-sat11-strips-p20,240.0,240.0
floortile-opt11-strips-opt-p01-001,28.0,28.0
floortile-opt11-strips-opt-p01-002,25.0,25.0
floortile-opt11-strips-opt-p02-003,42.0,42.0
floortile-opt11-strips-opt-p02-004,34.0,34.0
floortile-opt11-strips-opt-p03-005,42.0,42.0
floortile-opt11-strips-opt-p03-006,43.0,43.0
floortile-opt11-strips-opt-p04-007,45.0,45.0
floortile-opt11-strips-opt-p04-008,49.0,49.0
floortile-opt11-strips-opt-p05-009,56.0,56.0
floortile-opt11-strips-opt-p05-010,57.0,57.0
floortile-opt11-strips-opt-p06-011,70.0,70.0
floortile-opt11-strips-opt-p06-012,68.0,68.0
floortile-opt11-strips-opt-p07-013,71.0,71.0
floortile-opt11-strips-opt-p07-014,69.0,69.0
floortile-opt11-strips-opt-p08-015,84.0,84.0
floortile-opt11-strips-opt-p08-016,86.0,86.0
floortile-opt11-strips-opt-p09-017,94.0,94.0
floortile-opt11-strips-opt-p09-018,95.0,95.0
floortile-opt11-strips-opt-p10-019,104.0,104.0
floortile-opt11-strips-opt-p10-020,104.0,104.0
floortile-opt14-strips-p01-4-3-2,36.0,36.0
floortile-opt14-strips-p01-4-4-2,46.0,46.0
floortile-opt14-strips-p01-5-3-2,44.0,44.0
floortile-opt14-strips-p01-5-4-2,58.0,58.0
floortile-opt14-strips-p01-5-5-2,69.0,69.0
floortile-opt14-strips-p01-6-4-2,68.0,68.0
floortile-opt14-strips-p01-6-5-2,84.0,84.0
floortile-opt14-strips-p02-4-4-2,49.0,49.0
floortile-opt14-strips-p02-5-3-2,45.0,45.0
floortile-opt14-strips-p02-5-4-2,62.0,62.0
floortile-opt14-strips-p02-5-5-2,71.0,71.0
floortile-opt14-strips-p02-6-4-2,68.0,68.0
floortile-opt14-strips-p02-6-5-2,92.0,92.0
floortile-opt14-strips-p03-4-3-2,40.0,40.0
floortile-opt14-strips-p03-4-4-2,50.0,50.0
floortile-opt14-strips-p03-5-3-2,45.0,45.0
floortile-opt14-strips-p03-5-4-2,58.0,58.0
floortile-opt14-strips-p03-5-5-2,69.0,69.0
floortile-opt14-strips-p03-6-4-2,74.0,74.0
floortile-opt14-strips-p03-6-5-2,86.0,86.0
floortile-sat11-strips-seq-p01-001,33.0,33.0
floortile-sat11-strips-seq-p01-002,35.0,35.0
floortile-sat11-strips-seq-p02-003,44.0,44.0
floortile-sat11-strips-seq-p02-004,50.0,50.0
floortile-sat11-strips-seq-p03-005,44.0,44.0
floortile-sat11-strips-seq-p03-006,45.0,45.0
floortile-sat11-strips-seq-p04-007,56.0,56.0
floortile-sat11-strips-seq-p04-008,56.0,56.0
floortile-sat11-strips-seq-p05-009,68.0,68.0
floortile-sat11-strips-seq-p05-010,68.0,68.0
floortile-sat11-strips-seq-p06-011,70.0,70.0
floortile-sat11-strips-seq-p06-012,73.0,73.0
floortile-sat11-strips-seq-p07-013,84.0,84.0
floortile-sat11-strips-seq-p07-014,87.0,87.0
floortile-sat11-strips-seq-p08-015,100.0,100.0
floortile-sat11-strips-seq-p08-016,102.0,102.0
floortile-sat11-strips-seq-p09-017,113.0,113.0
floortile-sat11-strips-seq-p09-018,114.0,114.0
floortile-sat11-strips-seq-p10-019,137.0,137.0
floortile-sat11-strips-seq-p10-020,131.0,131.0
floortile-sat14-strips-p01-4-3-2,36.0,36.0
floortile-sat14-strips-p01-5-4-2,58.0,58.0
floortile-sat14-strips-p01-5-5-2,69.0,69.0
floortile-sat14-strips-p01-6-4-2,68.0,68.0
floortile-sat14-strips-p01-6-5-2,84.0,84.0
floortile-sat14-strips-p01-6-5-3,84.0,84.0
floortile-sat14-strips-p02-5-4-2,62.0,62.0
floortile-sat14-strips-p02-6-4-2,68.0,68.0
floortile-sat14-strips-p02-6-5-2,92.0,92.0
floortile-sat14-strips-p02-6-5-3,84.0,84.0
floortile-sat14-strips-p03-6-4-2,74.0,74.0
floortile-sat14-strips-p03-6-5-2,86.0,86.0
floortile-sat14-strips-p03-6-5-3,85.0,85.0
floortile-sat14-strips-p04-5-4-2,63.0,63.0
floortile-sat14-strips-p04-5-5-2,79.0,79.0
floortile-sat14-strips-p04-6-5-2,89.0,89.0
floortile-sat14-strips-p04-6-5-3,84.0,84.0
floortile-sat14-strips-p05-4-3-2,33.0,33.0
floortile-sat14-strips-p05-6-5-2,84.0,84.0
floortile-sat14-strips-p05-6-5-3,84.0,84.0
freecell-p01,8.0,8.0
freecell-p02,14.0,14.0
freecell-p03,18.0,18.0
freecell-p04,26.0,26.0
freecell-p05,30.0,30.0
freecell-p06,34.0,34.0
freecell-p07,39.0,39.0
freecell-p08,45.0,45.0
freecell-p09,41.0,41.0
freecell-p10,48.0,48.0
freecell-p11,49.0,49.0
freecell-p12,46.0,46.0
freecell-p13,55.0,55.0
freecell-p14,54.0,54.0
freecell-p15,61.0,61.0
freecell-p16,59.0,59.0
freecell-p17,60.0,60.0
freecell-p18,70.0,70.0
freecell-p19,73.0,73.0
freecell-p20,69.0,69.0
freecell-probfreecell-10-1,55.0,55.0
freecell-probfreecell-10-2,52.0,52.0
freecell-probfreecell-10-3,49.0,49.0
freecell-probfreecell-10-4,55.0,55.0
freecell-probfreecell-10-5,57.0,57.0
freecell-probfreecell-11-1,61.0,61.0
freecell-probfreecell-11-2,57.0,57.0
freecell-probfreecell-11-3,56.0,56.0
freecell-probfreecell-11-4,62.0,62.0
freecell-probfreecell-11-5,65.0,65.0
freecell-probfreecell-12-1,67.0,67.0
freecell-probfreecell-12-2,62.0,62.0
freecell-probfreecell-12-3,63.0,63.0
freecell-probfreecell-12-4,67.0,67.0
freecell-probfreecell-12-5,71.0,71.0
freecell-probfreecell-13-1,74.0,74.0
freecell-probfreecell-13-2,68.0,68.0
freecell-probfreecell-13-3,70.0,70.0
freecell-probfreecell-13-4,73.0,73.0
freecell-probfreecell-13-5,78.0,78.0
freecell-probfreecell-2-1,9.0,9.0
freecell-probfreecell-2-2,8.0,8.0
freecell-probfreecell-2-3,8.0,8.0
freecell-probfreecell-2-4,8.0,8.0
freecell-probfreecell-2-5,9.0,9.0
freecell-probfreecell-3-1,14.0,14.0
freecell-probfreecell-3-2,13.0,13.0
freecell-probfreecell-3-3,12.0,12.0
freecell-probfreecell-3-4,12.0,12.0
freecell-probfreecell-3-5,13.0,13.0
freecell-probfreecell-4-1,19.0,19.0
freecell-probfreecell-4-2,17.0,17.0
freecell-probfreecell-4-3,18.0,18.0
freecell-probfreecell-4-4,18.0,18.0
freecell-probfreecell-4-5,18.0,18.0
freecell-probfreecell-5-1,24.0,24.0
freecell-probfreecell-5-2,23.0,23.0
freecell-probfreecell-5-3,24.0,24.0
freecell-probfreecell-5-4,23.0,23.0
freecell-probfreecell-5-5,25.0,25.0
freecell-probfreecell-6-1,30.0,30.0
freecell-probfreecell-6-2,28.0,28.0
freecell-probfreecell-6-3,28.0,28.0
freecell-probfreecell-6-4,28.0,28.0
freecell-probfreecell-6-5,32.0,32.0
freecell-probfreecell-7-1,35.0,35.0
freecell-probfreecell-7-2,34.0,34.0
freecell-probfreecell-7-3,32.0,32.0
freecell-probfreecell-7-4,35.0,35.0
freecell-probfreecell-7-5,40.0,40.0
freecell-probfreecell-8-1,42.0,42.0
freecell-probfreecell-8-2,39.0,39.0
freecell-probfreecell-8-3,38.0,38.0
freecell-probfreecell-8-4,41.0,41.0
